X,Y,Z
"Private clinics cannot send ambulances due to bureaucracy","The quality of the ambulance service continues to raise serious concerns. The Federation of Cyprus Patients' Associations (FPA) expresses its concern at the complete lack of progress on this topic.The organization presented its proposals for reforming the service to the country's president in March of this year. She proposed three options for how a national ambulance service could operate.All of them assume that the management of ambulance services will move away from the Organization of National Health Services (OKIPI) to a new department. It could be:– a sub-ministry or “independent crisis service” (first option) – an independent body for the coordination of emergency services (second option) – or a separate department under the Ministry of Health (third option).All three options assume a transition period so that OKIPI receives profit from the operation of ambulances within two years. “Unfortunately until today that is until the end of July we have not received an answer. No discussion has taken place and the issue remains without progress” said OSAC spokesman Miltos Miltiadus.OSAC's statement comes a few days after the director of the private clinic Limassol Medical Center Andreas Pantazis called for private ambulances to be included in the GeSI.A letter was sent to the Minister of Health Michalis Damianos. There the director of the clinic said that the current system according to which private hospitals affiliated with GeSI are required to have their own ambulances but cannot use them to serve patients under GeSI is unacceptable.Under the current system a private clinic even if it has ambulances is required to request a car from OKIPI to transport patients.“We consider it unacceptable to have ambulances and not have the right to serve our patients with them. OKIPI fulfills its duties with delays patients have to wait for hours for an ambulance” Pantazis writes in an open letter.The text was prepared based on materials from Cyprus Mail and Politis At the same timeThe work of ambulances is seriously complicated by two factors. The first is the selfish attitude of residents and practical jokes. The second is when an ambulance responds to obviously false calls. More details at the link.Read 362",4
"Larnaca – Cairo and Larnaca – Warsaw: new flights","Two new flights from Larnaca Airport will become available after the end of the tourist season. At the end of October planes from Cyprus will begin flying to Cairo Egypt and Warsaw Poland.Polish carrier LOT will resume flights from Larnaca to Warsaw after a two-year break. After October 28 planes will fly to the Polish capital four times a week in autumn and winter and six times a week in spring and summer.The Sub-Ministry of Tourism welcomed the decision. It indicated that the flights would help attract more tourists from Poland and strengthen air traffic in Cyprus during the winter season.Low-cost airline Wizz Air announced the launch of a flight to Cairo also starting at the end of October. Planes will fly to the Egyptian capital three times a week: on Tuesdays Thursdays and Saturdays.Thus Wizz Air will become the first low-cost airline to connect two neighboring countries. For now you can only fly from Larnaca to Cairo using Egyptian Airlines.Wizz Air has also begun to implement the MultiPass program in Cyprus which makes it possible to book a stable price for a flight and baggage for 12 months.The text was prepared based on materials from Politis and BriefMore newsFrom October easyJet will launch flights from Larnaca to Amsterdam. It will be possible to fly to the capital of the Netherlands every Wednesday and Sunday.And in September Wizz Air aircraft will begin flying between Larnaca and Milan.You can read about other new air routes here.Read 1219",4
"Cyprus qualified for the first time in the high jump final","Cypriot athlete Elena Kulichenko qualified for the finals of the high jump competition. Thanks to her success the country found itself in the final competition of this sport for the first time.Kulichenko cleared 1.92 m on her first attempt finishing in seventh place. The final will take place on the evening of August 4th. It will be broadcast by the RIC TV channel starting at 20:55 Cyprus time.Cypriot athletes have been competing in athletics disciplines under the flag of their country since 1984. Before this the Cypriot Federation was part of the Greek Federation and Cypriots competed under the Greek flag.At the opening of the Olympics in Paris Elena Kulichenko together with runner Milan Trajkovic held the flag of the Republic of Cyprus.Another Cypriot athlete Turkish Cypriot Buse Savashkan competing for Turkey took eighth place with the same result 1.92 meters.The text was prepared based on materials from Facebook and Sigma About the athleteElena Kulichenko became the first Cypriot athlete to officially secure a place at the Olympics. She took first place at the College Championships in the USA and became the European champion among athletes under 23 years of age. In July 2023 with a result of 190 cm she became the champion of Cyprus. In 2023 she won the European Youth Championships in Espoo Finland winning the first gold for Cyprus at competitions of this level.Other achievementsGymnast Marios Georgiou qualified for the men's horizontal bar final. The final performance is scheduled for August 5.You can read about the performance of Marios and other athletes here.Read 6955",4
"37 antiquities were returned to the island from Stuttgart","The lot includes clay vessels dating from the Early and Middle Bronze Ages four clay lamps that date from the Cypriot Classical and Late Roman periods as well as medieval objects.All of them were taken from the Republic of Cyprus in 1964-1968 by a German citizen who worked at the German Embassy in Nicosia. After his death in 2023 his heir Eva-Maria Vaas contacted the Embassy of the Republic of Cyprus in Berlin and expressed her desire to return the antiquities to the island.In its statement the Department of Antiquities expresses its sincere gratitude to the donor for her initiative to return the artifacts to Cyprus and for her cooperation in this project. The Office also thanked the Embassy of the Republic of Cyprus in Berlin and especially Ambassador Maria Papakiryakou for her valuable contribution to the return process.The Department of Antiquities as the competent authority of the Republic of Cyprus for the protection of archaeological heritage recognizes the important role that the public can play in the search for and return of illegally exported antiquities. The department encourages those who wish to contribute to contact them directly.The text was prepared based on materials from PolitisRead alsoIn May 2024 the author of the book “The Icon Hunter” Tasoula Hadjittofi presented the editors of the “Herald of Cyprus” with a book in which she spoke about an important process - the search and return of 318 relics of Cypriot origin illegally exported from the territory of Cyprus. Read the link.Read 151",4
"Republic of Cyprus: an emerald island rich in nature","Cyprus is famous for its diverse and amazing nature. This small island has unique landscapes from sandy beaches to mountain peaks from ancient forests to fertile valleys.In one article we have collected recently published important news about nature and useful reviews. There are 29 of them and this is not a random number - this is how we celebrate the 29th anniversary of our publication.1. “A UNESCO biosphere reserve has appeared in Cyprus.” Find out more about the new protected area in the Diarizos River Valley here.2. “Hide from the heat: waterfalls rivers and lakes of Cyprus.” We have collected all the information about the island’s water sources in this collection.  3. “Flamingos on the Salt Lakes.” You can see unique photographs of pink birds taken at the Larnaca Salt Lake here.  4. “Kalavasos: archaeology agrotourism nature.” The meaning of the place from different points of view was described in the link.  5. ""Kato Paphos: ancient and modern."" The Paphos Archaeological Park appears in all its glory in this review.6. “The asphalt heated up to 62 degrees.” You can get acquainted with the interesting experiment that the blogger conducted in 2023 by following the link.7. “Farmers don’t want to give up pesticides.” Why the demand to abandon chemicals is causing protests find out here.8. “Cyprus through the eyes of birds.” We have collected impressive photographs of the island and its nature in this publication.9. “Larnaca of the future: heritage and nature.” Let’s visualize how the city’s embankment is changing.10. “The seventh species of Cyprus birds is on the verge of extinction.” Want to delve deeper into the causes and history of the fight against poaching and bird extinction? Go ahead.11. “A beauty contest was held for Cypriot landscapes.” You can see unique nature photographs by the famous photographer and cameraman Bora Markovic here. 12. “Akamas a paradise with an ancient name.” The peninsula with a long history was described in this article. 13. “Bee “hotels” in city parks.” Cyprus ranks third in the world for bee diversity. Interesting information about worker insects is presented here. 14. “Snow-covered Cyprus: 15 impressive photos.” We picked up some fascinating photographs of the snow-covered island - they are here. 15. “Secret Bath in the Forest.” You can find out about the secret place here. 16. “A village full of lilacs.” The charming village of Vasa Kilanyu appears in this review. 17. “The first flamingos flew to Cyprus.” You can learn about arriving birds and read useful tips on watching them by following the link. 18. “Paphos and the surrounding area: ships waterfalls and one gorge.” We offer more information about the natural advantages of Paphos in this article.  19. “Lilac sting: jellyfish off the coast of Cyprus.” Why are marine life dangerous in Cypriot waters? Find out by following the link. 20. “Wild goats came out to people.” You can read about the wild inhabitants of the island here. 21. “When will Cyprus become green again?” Civilization influences nature. How exactly? Answered in this article. 22. “Amazing places in Cyprus.” Interesting selection at this link. 23. “Konnos Bay is the bay of my heart.” A beautiful place with breathtaking nature is hidden at this address. 24. “Where the sun meets the sea...” We offer more information about the island's beach spots here. 25. “Cyprus’s wildlife is in danger.” Natural crisis of 2018 – described at the link. 26. “Cyprus in search of gold.” The history of gold mining on the island is presented here. 27. “The ghost village of Skouriotissa.” Do you want to get to know a village with impressive nature that has been empty for many years? Go to this article. 28. “The Sculpture Park of Ayia Napa will be replenished with new masterpieces.” You can read about interesting innovations in the park of the main tourist city here. 29. “Mediterranean or Cypriot: which sea washes the island.” Interesting discoveries await you at the link. You can find other articles dedicated to the newspaper’s birthday using the tag #VKcyprus29.Read 491",4
"Young people spoke about the reasons for cyberbullying","45% of young people in Cyprus have recently experienced hostile or derogatory messages towards them. In total the share of young people in the EU who reported such episodes was 49%.In 12 of the 23 EU countries more than 50% of teenagers and young adults aged 16 to 29 reported having encountered similar messages online in the past three months.The highest rate was recorded in Estonia (69%) followed by Denmark and Finland (68% in each country).The lowest rates of cyberbullying are in Croatia (24%) Romania (27%) and Bulgaria (31%).The reasons Cypriot youth most often cite why they think groups or individuals are targeted by hostile or derogatory messages online are: – political or social views (36%) – gender (35%) – racial or ethnic origin ( 29%) – sexual orientation (27%) – religion and beliefs (23%) – disabilities and special needs (15%).Gender is the most commonly cited reason for cyberbullying in Finland (41%) Denmark (40%) and Cyprus (35%). On average across the EU this is the fifth most common answer (23%).At EU level the category “political or social views” was the most popular with 35% of respondents choosing it. The same answer was most often given by residents of Estonia (60%) Finland (56%) and Denmark (49%).The second place among the reasons for cyberbullying on average in the EU is sexual preferences (32%). The countries where this category was most often cited as a reason for cyberbullying were Estonia (46%) Slovakia and Portugal (44% each).The category “racial or ethnic origin” ranked third in the EU with 30%. The highest rates in this category were recorded in the Netherlands and Portugal (45% each) and Estonia (44%).The text was prepared based on materials from PolitisAt the same timeCases of elder abuse have increased in Cyprus over the past decade. Ageism that is discrimination based on age is evident in all forms and at all levels of Cypriot society. Read more here.Read 246",4
"Sheep and goat plague: what are the risks for Cyprus","The disease known as peste des petits ruminants is killing sheep and goats in Greece and Romania. The Veterinary Service is doing everything possible to prevent its spread in Cyprus.The Veterinary Service is participating in an epidemiological study to determine how the virus entered Eastern Europe. This was announced by the director of the department Christodoulos Pipis.About risks and precautionsThere are no cases of the disease in Cyprus yet. But the island's strong ties to Greece make the spread of the plague potentially possible. According to the law Cypriot farmers are required to report cases of this disease to the Veterinary Service.The EU has imposed restrictions on the supply of animals and animal products from affected areas. In addition the Greek Ministry of Agriculture unilaterally decided to prohibit the transport of animals and animal products outside the country in order to contain the spread of the virus.For its part Cyprus cannot independently take measures to ban the import of meat from affected countries as this is contrary to the principle of an open market.About the diseaseThe plague is not transmitted to people. However the virus is very dangerous for small ruminants which it kills.Sick cattle are euthanized. The remains of infected animals are either burned or buried on site if transport to a crematorium is not possible without the risk of spreading the virus. When carcasses are buried on site they are doused with lime and disinfectants.The disease was first reported in 1942 in Ivory Coast and has since spread to many countries in Africa the Middle East and Asia. It has become an endemic disease in Turkey.The virus is transmitted through close contact between healthy and infected animals. And also through contaminated food water and equipment where it can persist for up to 72 hours depending on humidity levels temperature and the presence of natural light.The most common method of further spread of the disease is the transportation of infected animals. The incubation period of the virus is four to six days but can last up to ten.Clinical symptoms include high fever lasting up to five days fatigue lack of appetite increased mucus from the eyes and nose and mouth ulcers. These are followed a few days later by watery bloody diarrhea cough and shortness of breath. If the animal survives symptoms may persist for up to two weeks. The disease has an almost 100% mortality rate.Farmers are urged to keep their animals confined practice good sanitation dispose of waste drain areas of standing water and keep insect and rodent populations low.Animals should be examined daily and the Veterinary Service should be immediately informed of any suspicion of infection or a decrease in milk production.The text was prepared based on materials from Cyprus Mail and PolitisRead alsoCyprus where antibiotic resistance killed 89 people in 2020 is seeking to reduce the use of drugs in livestock production. Read more.Read 195",4
"One of the CUPs in Nicosia will close","Residents of Nicosia will lose one of the citizen service centers. It will close on September 9. We are talking about the branch on Archbishop Makarios III Avenue.The information was released by the Ministry of Finance which is responsible for the operation of citizen service centers (CSCs). The branch on Archbishop Makarios III Avenue will continue to operate until September 6 inclusive and will be closed from September 9.In fact it will merge with another KUP - in Engomi.Location of the KEP that is subject to closure KEP location in Engomi You can make an appointment at the citizen service center in Engomi by calling the single telephone number 22 309100.The text was prepared based on materials from Politis On topicThe Digital Citizen app will be launched early in the fourth quarter of 2024 allowing you to electronically store your ID license and ILO vehicle certificate. Read more about online government services in the article.Read 441",4
"The plane from Munich landed in Larnaca instead of Tel Aviv","A Lufthansa plane flying from Munich to Tel Aviv landed in Larnaca. Passengers were offered to either return back to Germany or get off in Cyprus but without luggage.The incident occurred on the morning of August 1. During the flight passengers were informed that the plane would land in Cyprus due to technical reasons. When the plane landed in Larnaca it was announced that the continuation of the flight to Tel Aviv was canceled and the plane would return to Germany. The reason was the refusal of the crew to go to Israel.Passengers were told they could either return to Munich or disembark at Larnaca but their luggage would remain on board and be taken back to Germany.A similar incident took place on the evening of July 30. The Austrian Airlines plane flying from Vienna to Tel Aviv turned around in the air over Cyprus and returned to Vienna.Amid a new round of escalation of the conflict between Israel Hamas and Hezbollah a number of airlines are suspending flights to Israel. These include United Airlines Delta Airlines and British Airways.The text was prepared based on materials from Politis and Times of Israel Other newsDue to the tense situation in Lebanon the authorities of the Republic of Cyprus activated the Nafkratis plan. The island is ready to become a transshipment base for citizens of the European Union and third countries. They told me about it on the news.Read 2210",4
"Two species of milkweed are endemic to Cyprus","Euphorbia is a toxic plant that has been used medicinally since ancient times. The genus of milkweed has about 700 species. 25 of them plus five subspecies grow in Cyprus.These are annual and perennial herbs shrubs (often succulent or cactus-like) and sometimes small trees. All species are characterized by the content of caustic milky juice which is where the name of the genus comes from.Euphorbia veneris is an endemic plant of Cyprus that grows in mountainous areas. Blooms from March to June. Cypriots call it “kaloximeroton” that is “beautiful flower at dawn”.Another endemic is Cyprus milkweed (Euphorbia cypria) which grows in the foothills and blooms from April to June.Finally the exclusively Cypriot subspecies – Euphorbia cassia ssp. Rigoi grows in rocky soils and pine forests and blooms from June to September.Milkweed sap can kill small animals. In former times residents of Cypriot villages used it to poison rodents. Pieces of bread were soaked in milkweed juice and left in places where mice had bred.In humans the juice of the plant causes irritation to the skin and mucous membranes of the eyes.The text was prepared based on materials from “Polygnosi” About Cypriot floraThere are 1738 plant species on the island of which 143 are found only here. In terms of the share of plant uniqueness (8.2%) Cyprus ranks first in Europe. Thanks to its isolation many prehistoric species have been preserved here having transformed over time and adapted to new conditions. More details here.Read 177",4
"Workshops and films: what to do in the Paphos region","The Paphos Tourism Development Association announced on July 31 three initiatives that are designed to attract additional tourist flows to Akamas in August.Museum of Rural LifeUntil the end of the summer the Museum of Rural Life and Traditions in Drushia will host handicraft master classes.The museum employs artisans who demonstrate their skills: making fabrics on a loom embroidering silk cocoons painting pumpkins and making pipes.The museum is open every day from 09:00 to 13:00.Read more about the museum here. Location on the map Center for Aviation Fauna and FloraThe Aviafauna and Flora Center in Kathikas shows an educational film about the wildlife of the peninsula. The center is open on weekdays and Saturdays from 10:00 to 15:00.Read more about it.Location on the map Turtle MuseumAt the Inia Turtle Museum educational films are shown in different languages including Russian.The museum is open on weekdays from 10:00 to 14:00 and from 15:00 to 17:30 and on Saturdays from 09:30 to 14:30.Read more about it.Location on the map  Smart signs and websiteThe Paphos Tourism Development Association also said that smart information signs had been installed at five locations in Neo Chorio Drousia and Arodes. Work is underway to create an official Akamas website which should be ready in November. These initiatives are part of measures to develop the villages of the peninsula announced by President Nikos Christodoulides. The initiatives are funded by the Sub-Ministry of Tourism.The text was prepared based on materials from Cyprus Mail See alsoWe've collected even more August events here.Read 249",4
"Road repairs led to collapse in residential areas","Transport collapse occurred in the Larnaca region due to sewerage repair work. The flow of cars is redirected from the main street to secondary roads.On secondary streets cars get stuck in traffic jams making noise and disturbing local residents.The problem arose due to the closed road Meneu - Pervolia. This is the road to the coast between the Soros salt lake and Faros beach. These regions are one of the most popular holiday destinations among Cypriots second only to Protaras in popularity. In the summer many residents of the capital go to their summer homes so traffic is always heavier here during the season. Repair work made the situation worse.Traffic jams filled the streets of Eleftherias and Filias which together form an L-shaped street on the plan. These are two narrow streets where about 20 families live. Since July 22 Eleftherias has been forced to handle much of this traffic flow as the main road is currently closed. The problem is that along with passenger vehicles trucks use this street.The combination of heavy traffic and residential areas poses potential risks for local residents especially children. Drivers get nervous about traffic jams and often begin to behave inappropriately. Local residents reported that the car could drive through a playground or through a private agricultural field.Therefore residents in some places blocked the sidewalk with old furniture and boards blocking the path for cars. Due to the dust raised by cars the parked cars of the people living here are covered with a layer of dirt. According to Holger Gardner who lives in the area the solar panels have become less efficient also due to the layer of dust.The situation escalated on July 27 when two dozen local residents physically blocked the road. The next day the police intervened and traffic began to be regulated. “We have put up signs that say 'local residents only'” says Kypros Andronikou mayor of Dromolaksi-Meneu.All these drivers are technically breaking the law and can be fined. According to local authorities it was never intended that Eleftherias-Filias would become an alternative route. Until recently the street was generally a dead end but recently local authorities covered the area connecting the street with the neighboring road with gravel and it became possible to drive further along it. This was done to make travel easier for local residents but now they themselves greatly regret this initiative of their mayor’s office.The summer months were chosen for sewer repairs for a reason. No work can be carried out in the Salt Lakes area between January and July as this would disturb the fragile ecosystem of the reservoir.The text was prepared based on materials from Cyprus MailOther newsPrivate trailers and vans were evacuated from the coast near Larnaca Nautical Club. Authorities have received numerous complaints about the behavior of vacationers who park their motorhomes here. Read more.Read 473",4
"Gasoline exported from the TRNC was fined 19000 euros","The truck driver was fined 19000 euros. The reason is an attempt to import 4500 liters of gasoline into government-controlled territories. They were purchased in the occupied areas.Customs says police stopped the truck on July 26. Four tanks and two fuel cans with a total volume of 4500 liters were found in the back. The driver admitted that he was transporting fuel from the occupied territories.The fuel and vehicle were confiscated by Customs Department officials and the driver was detained on the spot. The man was given a fine of 18000 euros plus another 1000 euros for returning the truck.The fuel was transferred to a certified company for disposal.The text was prepared based on materials from Politis Cyprus Mail and AlphaWhat are we talking about?We wrote about the rules for transporting fuel through the Green Line here.Read 1079",4
"Three essential measures in hot weather","The record heat does not let go of the island. We never tire of reminding you of precautions and ways to reduce the risks of heat stroke. Let's list the three simplest ones.First of all it is necessary to prevent dehydration.Drink more waterObvious recommendation? Yes so obvious and predictable that many people neglect it! People literally forget to drink. This is especially true for teenage children who are absorbed in their thoughts and activities but at the same time move a lot and lose a lot of fluid in hot weather. The problem is also relevant for the elderly.Set a timer place bottles of water and generally replenish your fluid balance even if you don’t feel thirsty right now.Eat more vegetables and fruitsAnother way to prevent dehydration is to change your diet towards moisture-rich foods. These are vegetables and fruits first of all.Do not forget to wash vegetables and fruits before eating to avoid infectious gastroenteritis or simple poisoning.Don't walk in the sunTry not to go outside during the hottest hours in the active sun. Choose morning and evening hours to do all your errands shopping walking the dog.If you have to be outside in the heat of the moment wear a hat and don’t forget to use sunscreen. It is better to move around the park in the shade of trees.More recommendationsWe've collected even more tips for hot weather here.Here are our recommendations for those who travel by car.Here is important information for pet owners.Read 785",4
"What to do in Cyprus in August: 29 ideas","August in Cyprus is a holiday period. There are few large-scale events but there are still interesting events. For those who want to diversify the last month of summer “Bulletin of Cyprus” has collected 29 ideas.This material is from our series dedicated to the 29th anniversary of the publication.1. Go for a sunset run along the boardwalk.On August 1 in Limassol as part of the summer rendezvous organized by Dromea Racing Running Club there will be a race along the Molos embankment with various snacks and a refreshing swim at the end. Starts at 19:00.2. Enjoy the sunset atmosphere on the beach.On August 1 Posidonia Watersport (Agios Tychonas) invites you to cocktails and pizza accompanied by relaxing DJ sets. It will be possible to rent equipment for various types of water sports.3. Get to know Cypriot cinema better.On August 1 8 and 29 in the courtyard of the Bank of Cyprus Cultural Foundation in Nicosia unique films by Cypriot producers are being shown as part of the Faneromeni24 festival. Shows start at 20:00.4. Try your hand at pottery.On August 1 a free master class on pottery will be held at the Avgoru Village Museum from 10:00 to 17:00.5. Experience a mix of genres and cultures.From August 1 to 3 Kato Drys will host the Fengaros festival with more than 60 artists from three continents performing on stage.6. Deepen your knowledge of documentary photography.In the first week of August (from 1 to 8 August) Ceronia Hall Lanitis Carob Mill in Limassol hosts an international documentary film festival. Along with film screenings the festival will feature performances from local and international guests.7. Celebrate the holiday of pasta.It will take place at Agios Theodoros in Larnaca on August 2 at 19:00. At the festival there will be an opportunity to try unique Cypriot pasta.8. Be part of a space picnic.It will be located on The Hill Paraklisha (Limassol) on August 2 (starting at 20:00) under the supervision of MSU certified astronomers. The program includes a conversation about space a mini-film and stargazing.9. Take part in the Cyprus Kitesurfing Championship.Its dates are from August 2 to 4 in Larnaca at Kahuna Surfhouse.10. Enjoy a family brunch.On August 3 from 8:00 to 11:00 Poseidonia Watersports in Agios Tychonas invites everyone to a delicious and active brunch: the ticket price includes not only food but also a lesson in SUP kayak and canoeing.11. Learn self-defense.The lesson will take place on August 3 (starts at 8:00) at Athalassa National Forest Park in Nicosia.12. Buy vintage items.From 1 to 4 August there will be a sale of vintage items in Lefkara. The market will be held at Mola Culture Factory from 11:00 to 18:00 every day.13. Visit the summer cinema.The Ostrov Theater is holding a film screening of the film “Mimino”: August 4 at 20:30 in the Limassol Municipal Park. A free tango lesson is expected half an hour before the start of the film and a wine tasting is included in the ticket price.14. Try street food at the festival.The street food festival is scheduled for August 4 at 17:00 at Agios Georgiou Square in the village of Pano Pakhna in the Limassol region.15. Get active.In Larnaca every Monday those who want to run at a leisurely pace gather at Finikoudes at 19:00 and run 5-7 kilometers along the embankment. The next meeting is August 5th.16. Work on your vocal abilities.On August 5 at 19:00 at Paradiso di Eros in Limassol vocal therapist Rusya will talk about how the voice affects everyone present exercises for opening the voice and also provide an opportunity to unite with others through shared singing.17. Catch an open-air film screening.On August 9 at 21:00 the Kimonos Art Center will host the final open-air screening of the film in Paphos.18. Spend the evening listening to Greek hits.As part of the tour Petros Iakovidis will perform at Feama in Limassol on August 10 starting at 23:00.19. Plunge into the atmosphere of the past.Mix.fm is organizing a themed party in the style of the 90s and 00s. Will take place on Saturday 10 August at Ammos Beach Bar in Larnaca.20. Be part of a festival of traditional tastes.It will take place from 9 to 11 August in the Central Square of Ayia Napa. Starts every day at 19:00. The program includes an art program dancing stands with Cypriot products and delicacies and much more.21. Spend the day with vultures.On 11 August from 18:00 in Agios Ioannis (Paphos) it will be possible to learn more about vultures through a photo exhibition games and a film.22. Watch the stars.The organizers of Troodos UNESCO Global Geopark invite everyone to admire the Persian meteor shower on August 12 at 19:00.23. Look at the world through the lens of animation.The Cyprus Animation Festival will take place in Salamiu and will last from 9 to 12 August. Starts at 19:00 every day.24. Enjoy the music.In Kyperunda on August 13 there will be the V music festival “Antilalos”. Starts at 20:00.25. Take part in a cultural festival.Date - August 17 time - from 18:00 to 22:00 place - Lysos community a small village on the edge of the Paphos forest. The festival will begin with the preparation of resi one of the traditional dishes served at a Cypriot wedding.26. Eat peaches.The peach festival in the churchyard of Kato Milos on August 17 will start at 10:00 and last until 22:00. The program includes a huge amount of entertainment master classes as well as shared meals and dancing to live Cypriot music.27. Have a beer.A beer festival will be held in Paphos from 22 to 25 August where a huge variety of this drink will be presented from Cypriot and international breweries and microbreweries. It will take place at Paphos Castle starting every day from 17:00.28. Experience the culture of jazz.In Gialia Paphos region the Paradise Jazz festival will take place from 23 to 24 August from 20:30 to 23:00. Athens organist George Kontrafouris and his Baby Trio will kick off the evening on Friday followed by world-famous American keyboardist David Garfield later. The Workin’ Quartet will take the stage on Saturday.29. Visit a photo exhibition.The exhibition is on display on the third floor of the Leventis Museum in Nicosia until August 25. It provides an opportunity to see how the capital of Cyprus has changed over time.Read also what sports you can do on the island.And here we have collected 29 Cypriot museums that we recommend visiting.You can find other articles dedicated to the newspaper’s birthday using the tag #VKcyprus29.Read 2292",4
"Illegal teeth whitening is being carried out in Paphos","The Pan-Cyprus Dental Association has filed a complaint with the Cyprus Police about illegal dental practices in Paphos. The service is provided by a beauty salon. The police began an investigation.Association President Eleni Attiki explained that the complaint concerns a beauty salon offering teeth whitening among other services.According to the specialist teeth whitening is a dental procedure. It involves not only the procedure itself in the oral cavity but also the use of specialized chemicals regulated by EU legislation.The legislation of the Republic of Cyprus and the EU specifies that such procedures must be carried out exclusively by licensed dental clinics in the correct manner. Violation of this law is a criminal offense. Advertising illegal practices and inviting the general public to receive such services is also prohibited.The Dental Association urges citizens to be careful undergo dental procedures only from licensed professionals and not to be influenced by advertising from unqualified people on social networks.The text was prepared based on materials from Sigma At the same timePreventive oral hygiene remains one of the most unclaimed services of GeSI. This is evidenced by data from the Health Insurance Organization. Read more at the link.Read 21",4
"A man was detained in Paphos for using smoke bombs and flares at the Aris-Olympiacos match","On August 12 police detained a 42-year-old man from Paphos for possession of smoke bombs and flares at a friendly match between Aris Limassol and Olympiacos Piraeus.The incident occurred amid enhanced security measures. In addition on Saturday August 10 a 16-year-old teenager was arrested after he was found with 68 smoke bombs and flares before the start of the match. Authorities are continuing their investigation to establish possible connections between the detainees and prevent further violations at sporting events.The Limassol Aris players lost in a friendly match to the Greek Olympiacos (Piraeus) with a score of 2:4 on Saturday August 10.Source: in-cyprus.philenews.com",4
"The heat remains dangerous","The Cyprus Meteorological Service reports dangerous heat levels for today. Experts have assigned the warning color yellow. It is valid on Tuesday August 13 from 11:00 to 17:00.In the interior of the island the air temperature will rise to 41 degrees Celsius on the western and southwestern coasts - up to 33 degrees in other coastal areas - up to 36 degrees. This is slightly above the season average.The island is located in a zone of low pressure and warm air masses. In the morning cloudiness is possible and precipitation is possible in some areas in the mountains. Similar weather conditions will last in Cyprus for a couple of days.The sea will be calm today; there may be low waves in the southwest of the island.On Thursday August 15 the weather will be similar to today.Meanwhile on Monday the scientific journal Nature Medicine published the results of a study according to which about 47690 people died due to heat in Europe in 2023. The deadliest summer was 2022: then according to WHO abnormal temperatures claimed the lives of 60000 people.During the hottest part of the day you should take precautions to avoid sunstroke outdoors or heatstroke indoors. You need to drink enough fluids. Particular attention should be paid to monitoring the health of the elderly and children.The text was prepared based on materials from Sigma Tips for hot weatherWe never tire of reminding you of precautions and ways to reduce the risks of heat stroke. The three simplest ones are listed here.Read 8",4
"What will change in junior school in the 2024/25 academic year","There are three weeks left before the start of the school year. We talk about the start dates of classes list innovations for primary school students and changes in the work of kindergartens.Primary school teachers will start working on September 2 and for children the first bell will ring on September 9.Many reforms in the field of education for primary grades will come into force this school year.The teaching approach has been changed: the emphasis is now on the development of critical and creative thinking the beneficial use of technology the development of digital skills etc.The head of the department of primary education Marios Stylianides highlighted the following changes:– Opening of 30 more full-day schools. – Reducing the age for children to enter free state kindergarten from 4 years old by exactly 2 months. – Curriculum update. – Expanding the list of materials for teachers providing assistance to migrant children to teach them Greek. – Continuation of the program for correctional education in kindergartens. – Adding a second classroom teacher in kindergartens. – Start of work on the project for digitalization of school education. – Increasing the permanent staff of primary schools. – Measures to prevent violence and bullying in schools. – Participation in the international research program PIRLS (Progress in International Reading Literacy Study). – The responsibilities of the head teacher have been expanded the roles of assistants (teacher assistants) have been added.The text was prepared based on materials from Phileleftheros. Read alsoThe ban on the use of mobile phones in gymnasiums and lyceums has been paused. Parliament was unable to reach a compromise and discussion of the issue was postponed until September. This means that the new school year will start without any changes for middle and high school students. Read more here.Read 41",4
"There is a high probability of forest fires in Cyprus","On Tuesday August 13 the forest department issued a red alert due to the high likelihood of forest fires and warned citizens about the high likelihood of fires.Under level red conditions lighting fires without a special permit is a serious offense that can result in a prison sentence of up to ten years and/or fines of up to €50000.The department clarified that lighting fires for cooking is permitted only in specially designated areas at picnic areas.The public is urged to exercise extreme caution and avoid any activity that could cause a fire including the use of tools or farm equipment that may produce heat sparks or flames.If smoke or fire is detected citizens are advised to immediately report it by calling 1407 or 112.",4
